threshold,precision,recall,f1,accuracy
0.36999999999999994,0.15873015873015872,0.47619047619047616,0.23809523809523808,0.7961783439490446
0.37999999999999995,0.16129032258064516,0.47619047619047616,0.24096385542168675,0.7993630573248408
0.38999999999999996,0.16666666666666666,0.47619047619047616,0.24691358024691357,0.8057324840764332
0.3999999999999999,0.15789473684210525,0.42857142857142855,0.23076923076923078,0.8089171974522293
0.4099999999999999,0.15789473684210525,0.42857142857142855,0.23076923076923078,0.8089171974522293
0.41999999999999993,0.14285714285714285,0.38095238095238093,0.2077922077922078,0.8057324840764332
0.42999999999999994,0.14545454545454545,0.38095238095238093,0.21052631578947367,0.8089171974522293
0.43999999999999995,0.14814814814814814,0.38095238095238093,0.21333333333333335,0.8121019108280255
0.4499999999999999,0.15384615384615385,0.38095238095238093,0.2191780821917808,0.8184713375796179
0.4599999999999999,0.16,0.38095238095238093,0.22535211267605634,0.8248407643312102
0.4699999999999999,0.16,0.38095238095238093,0.22535211267605634,0.8248407643312102
0.4799999999999999,0.16326530612244897,0.38095238095238093,0.22857142857142856,0.8280254777070064
0.48999999999999994,0.16326530612244897,0.38095238095238093,0.22857142857142856,0.8280254777070064
0.49999999999999994,0.16326530612244897,0.38095238095238093,0.22857142857142856,0.8280254777070064
0.5099999999999999,0.16326530612244897,0.38095238095238093,0.22857142857142856,0.8280254777070064
0.5199999999999999,0.1702127659574468,0.38095238095238093,0.23529411764705882,0.8343949044585988
0.5299999999999999,0.1702127659574468,0.38095238095238093,0.23529411764705882,0.8343949044585988
0.5399999999999999,0.17391304347826086,0.38095238095238093,0.23880597014925373,0.8375796178343949
0.5499999999999999,0.18604651162790697,0.38095238095238093,0.25,0.8471337579617835
0.5599999999999999,0.18604651162790697,0.38095238095238093,0.25,0.8471337579617835
0.57,0.19047619047619047,0.38095238095238093,0.25396825396825395,0.8503184713375797
0.58,0.2,0.38095238095238093,0.26229508196721313,0.856687898089172
0.59,0.20512820512820512,0.38095238095238093,0.26666666666666666,0.8598726114649682
0.6,0.20512820512820512,0.38095238095238093,0.26666666666666666,0.8598726114649682
0.61,0.21052631578947367,0.38095238095238093,0.2711864406779661,0.8630573248407644
0.62,0.1891891891891892,0.3333333333333333,0.2413793103448276,0.8598726114649682
0.63,0.1891891891891892,0.3333333333333333,0.2413793103448276,0.8598726114649682
0.6399999999999999,0.16666666666666666,0.2857142857142857,0.21052631578947367,0.856687898089172
0.6499999999999999,0.16666666666666666,0.2857142857142857,0.21052631578947367,0.856687898089172
0.6599999999999999,0.16666666666666666,0.2857142857142857,0.21052631578947367,0.856687898089172
0.6699999999999999,0.16666666666666666,0.2857142857142857,0.21052631578947367,0.856687898089172
0.6799999999999999,0.16666666666666666,0.2857142857142857,0.21052631578947367,0.856687898089172
0.69,0.17142857142857143,0.2857142857142857,0.21428571428571427,0.8598726114649682
0.7,0.18181818181818182,0.2857142857142857,0.2222222222222222,0.8662420382165605
0.71,0.1875,0.2857142857142857,0.22641509433962265,0.8694267515923567
0.72,0.1875,0.2857142857142857,0.22641509433962265,0.8694267515923567
0.73,0.1935483870967742,0.2857142857142857,0.23076923076923078,0.8726114649681529
0.74,0.1935483870967742,0.2857142857142857,0.23076923076923078,0.8726114649681529
0.7499999999999999,0.1935483870967742,0.2857142857142857,0.23076923076923078,0.8726114649681529
0.7599999999999999,0.1935483870967742,0.2857142857142857,0.23076923076923078,0.8726114649681529
0.7699999999999999,0.1724137931034483,0.23809523809523808,0.2,0.8726114649681529
0.7799999999999999,0.1724137931034483,0.23809523809523808,0.2,0.8726114649681529
0.7899999999999999,0.17857142857142858,0.23809523809523808,0.20408163265306123,0.8757961783439491
0.7999999999999999,0.17857142857142858,0.23809523809523808,0.20408163265306123,0.8757961783439491
0.8099999999999999,0.17857142857142858,0.23809523809523808,0.20408163265306123,0.8757961783439491
0.82,0.17857142857142858,0.23809523809523808,0.20408163265306123,0.8757961783439491
0.83,0.17857142857142858,0.23809523809523808,0.20408163265306123,0.8757961783439491
0.84,0.19230769230769232,0.23809523809523808,0.2127659574468085,0.8821656050955414
0.8499999999999999,0.16666666666666666,0.19047619047619047,0.17777777777777778,0.8821656050955414
